id,sex,weight,svl
BGS-1704,M,37.5,39.86666667
BGS-1705,M,20.5,29
BGS-1706,F,24.5,31.2
BGS-1707,M,29.01111111,36.68888889
BGS-1708,M,22.55,30.5
BGS-1709,M,28.85714286,35.02857143
BGS-1710,M,25.2,32.3
BGS-1711,M,28.2,34.2
BGS-1712,F,57.8875,41.52857143
BGS-1713,F,53.73333333,38.76666667
BGS-1714,M,30.6,34.2
BGS-1715,F,27,31.6
BGS-1716,F,30.3,37.7
BGS-1717,F,29,34.8
BGS-1718,M,32.1,37.1
BGS-1719,M,29,36.6
BGS-172,M,29.7,36.76666667
BGS-1720,M,24,33.1
BGS-1721,M,30,36.5
BGS-1722,M,25.4,34.2
BGS-1723,M,24.6,32.8
BGS-1724,F,38,37.5
BGS-1725,M,21.3,32.1
BGS-1726,M,17.3,33
BGS-1727,M,27.3,33.43333333
BGS-1728,M,28.86666667,37.3
BGS-1729,M,28,35.3
BGS-1730,M,33.1,36.3
BGS-1731,F,37.6,38
BGS-1732,M,26.6,35
BGS-1733,F,48.7,39
BGS-1734,M,24.25,32.5
BGS-1735,F,41.6,41.4
BGS-1736,M,24.4,33.6
BGS-1737,M,25,34.2
BGS-1738,M,28,34.4
BGS-1739,M,46.8,40.4
BGS-1740,M,25.23333333,33.73333333
BGS-1741,F,23.6,32.5
BGS-1742,M,25.08,34.76
BGS-1743,F,45.06666667,38.43333333
BGS-1744,F,37,38.4
BGS-1745,M,16,30
BGS-1746,M,21,33
BGS-1747,M,27.5,35
BGS-1748,F,43.08,38.06
BGS-1749,F,50.53333333,38.66666667
BGS-1750,M,23.3,34.4
BGS-1751,F,45.675,40.575
BGS-1752,M,27,35.6
BGS-1753,F,39.61666667,36.24
BGS-1754,M,19.2,34.2
BGS-1755,M,23.7,35
BGS-1756,F,6.8,20.4
BGS-1757,F,31.775,33.55
BGS-1758,M,6.6,19.9
BGS-176,M,26,38.7
BGS-1760,M,9.9,24
BGS-1761,M,12.1,25.9
BGS-1763,F,43.86666667,38.86666667
BGS-1768,M,11.03333333,24.05
BGS-1769,F,7.966666667,23.03333333
BGS-1770,M,24,27.4
BGS-1771,M,17.3,32
BGS-1772,M,27.3,36.4
BGS-1773,M,32.8,40
BGS-1774,M,26.86666667,34.86666667
BGS-1775,M,25.6,35.5
BGS-1776,M,27,36
BGS-1777,M,32.5,39.2
BGS-1778,M,27.4,38.2
BGS-1779,M,27.2,36
BGS-1780,M,24.3,36.4
BGS-1781,M,24.4,34.2
BGS-1782,M,23.5,34
BGS-1783,M,25,37.8
BGS-1784,M,26.3,32.4
BGS-1785,M,31.8,36.4
BGS-1786,M,26.2,35
BGS-1787,M,23.1,33
BGS-1788,M,24.1,35.8
BGS-1789,M,25,38.7
BGS-1790,M,7.1,24.8
BGS-1791,M,8,23
BGS-1792,M,8.4,22.06666667
BGS-1793,M,9.1,23.3
BGS-1794,F,37,39.2
BGS-1795,F,37.25,36.8
BGS-1796,M,28.49230769,38.16923077
BGS-1797,F,34.3,37.6
BGS-1798,F,53.3,39.575
BGS-1799,F,40.3,40.8
BGS-1800,F,41.25,41.1
BGS-1801,F,7.4,21.6
BGS-1802,F,5.1,20.2
BGS-1803,F,42.24285714,37.12857143
BGS-1804,M,12.6,24.875
BGS-1805,F,6.2,20.4
BGS-1806,F,42.7,37.16666667
BGS-1807,F,33.8,36.5
BGS-1808,F,9,22.6
BGS-1809,M,25.3,35.33333333
BGS-1810,M,22.675,35.15
BGS-1811,F,9.16,22.24
BGS-1812,M,25.6,40
BGS-1813,F,5,8.4
BGS-1814,M,8.2,22.225
BGS-1815,F,7.5,25.1
BGS-1816,F,14.7,29.2
BGS-1817,M,20.6,34.2
BGS-1818,M,22,35
BGS-1819,F,26.18333333,31.71666667
BGS-1820,M,31.4,36.1
BGS-1821,M,27,39
BGS-1822,F,7.8,22.7
BGS-1823,F,8.5,23.1
BGS-1824,M,19.8,29.4
BGS-1825,F,7.2,21.8
BGS-1826,M,7.4,21.5
BGS-1827,M,14.4,25.4
BGS-1828,M,10.3,24
BGS-1829,F,59.5,42.45
BGS-1830,F,42.1,38.06
BGS-1831,F,14.16666667,27.26666667
BGS-1832,F,55.3,41.66666667
BGS-1833,M,9.1,24.5
BGS-1834,M,23.35,32.8
