focal,partner,simple_ratio,focal.sex,partner.sex,focal.age,partner.age
doug,dolly,0.166666667,male,female,10.53251198,16.75838467
littlejane,dolly,0,female,female,28.58042437,16.75838467
littlejenkins,dolly,0,female,female,6.579055441,16.75838467
littlejudy,dolly,0,female,female,18.58179329,16.75838467
maggie,dolly,0.083333333,female,female,27.58110883,16.75838467
mary,dolly,0,female,female,7.906913073,16.75838467
masya,dolly,0,female,female,22.58179329,16.75838467
mike,dolly,0,male,female,15.58110883,16.75838467
moyo,dolly,0,male,female,5.963039014,16.75838467
nina,dolly,0,female,female,10.36550308,16.75838467
noel,dolly,0.25,female,female,36.58042437,16.75838467
pan,dolly,0,male,female,24.58042437,16.75838467
pippa,dolly,0,female,female,24.58042437,16.75838467
taylor,dolly,0,female,female,8.873374401,16.75838467
tess,dolly,0.4,female,female,15.58110883,16.75838467
trixie,dolly,0,female,female,23.58110883,16.75838467
violet,dolly,0,female,female,22.58179329,16.75838467
zsabu,dolly,0,male,female,23.58110883,16.75838467
dora,donna,0,female,female,24.58042437,29.58247775
doug,donna,0,male,female,10.53251198,29.58247775
littlejane,donna,0,female,female,28.58042437,29.58247775
littlejenkins,donna,0,female,female,6.579055441,29.58247775
littlejudy,donna,0,female,female,18.58179329,29.58247775
maggie,donna,0.0625,female,female,27.58110883,29.58247775
mary,donna,0,female,female,7.906913073,29.58247775
masya,donna,0,female,female,22.58179329,29.58247775
mike,donna,0.083333333,male,female,15.58110883,29.58247775
moyo,donna,0,male,female,5.963039014,29.58247775
nina,donna,0,female,female,10.36550308,29.58247775
noel,donna,0,female,female,36.58042437,29.58247775
pan,donna,0,male,female,24.58042437,29.58247775
pippa,donna,0,female,female,24.58042437,29.58247775
taylor,donna,0,female,female,8.873374401,29.58247775
tess,donna,0,female,female,15.58110883,29.58247775
trixie,donna,0,female,female,23.58110883,29.58247775
violet,donna,0,female,female,22.58179329,29.58247775
zsabu,donna,0,male,female,23.58110883,29.58247775
doug,dora,0.333333333,male,female,10.53251198,24.58042437
littlejane,dora,0,female,female,28.58042437,24.58042437
littlejenkins,dora,0,female,female,6.579055441,24.58042437
littlejudy,dora,0,female,female,18.58179329,24.58042437
maggie,dora,0.111111111,female,female,27.58110883,24.58042437
mary,dora,0,female,female,7.906913073,24.58042437
masya,dora,0,female,female,22.58179329,24.58042437
mike,dora,0,male,female,15.58110883,24.58042437
moyo,dora,0.333333333,male,female,5.963039014,24.58042437
nina,dora,0.25,female,female,10.36550308,24.58042437
noel,dora,0.2,female,female,36.58042437,24.58042437
pan,dora,0,male,female,24.58042437,24.58042437
pippa,dora,0,female,female,24.58042437,24.58042437
taylor,dora,0,female,female,8.873374401,24.58042437
tess,dora,0,female,female,15.58110883,24.58042437
trixie,dora,0,female,female,23.58110883,24.58042437
violet,dora,0,female,female,22.58179329,24.58042437
zsabu,dora,0,male,female,23.58110883,24.58042437
littlejane,doug,0,female,male,28.58042437,10.53251198
littlejenkins,doug,0,female,male,6.579055441,10.53251198
littlejudy,doug,0,female,male,18.58179329,10.53251198
maggie,doug,0,female,male,27.58110883,10.53251198
mary,doug,0,female,male,7.906913073,10.53251198
masya,doug,0,female,male,22.58179329,10.53251198
mike,doug,0,male,male,15.58110883,10.53251198
moyo,doug,0,male,male,5.963039014,10.53251198
nina,doug,0,female,male,10.36550308,10.53251198
noel,doug,0.166666667,female,male,36.58042437,10.53251198
pan,doug,0,male,male,24.58042437,10.53251198
pippa,doug,0.111111111,female,male,24.58042437,10.53251198
taylor,doug,0,female,male,8.873374401,10.53251198
tess,doug,0.666666667,female,male,15.58110883,10.53251198
trixie,doug,0,female,male,23.58110883,10.53251198
violet,doug,0,female,male,22.58179329,10.53251198
zsabu,doug,0,male,male,23.58110883,10.53251198
littlejenkins,littlejane,0.666666667,female,female,6.579055441,28.58042437
littlejudy,littlejane,0.666666667,female,female,18.58179329,28.58042437
maggie,littlejane,0,female,female,27.58110883,28.58042437
mary,littlejane,0,female,female,7.906913073,28.58042437
masya,littlejane,0,female,female,22.58179329,28.58042437
mike,littlejane,0,male,female,15.58110883,28.58042437
moyo,littlejane,0,male,female,5.963039014,28.58042437
nina,littlejane,0,female,female,10.36550308,28.58042437
noel,littlejane,0,female,female,36.58042437,28.58042437
pan,littlejane,0,male,female,24.58042437,28.58042437
pippa,littlejane,0,female,female,24.58042437,28.58042437
taylor,littlejane,0,female,female,8.873374401,28.58042437
tess,littlejane,0,female,female,15.58110883,28.58042437
trixie,littlejane,0,female,female,23.58110883,28.58042437
violet,littlejane,0,female,female,22.58179329,28.58042437
zsabu,littlejane,0,male,female,23.58110883,28.58042437
littlejudy,littlejenkins,0,female,female,18.58179329,6.579055441
maggie,littlejenkins,0,female,female,27.58110883,6.579055441
mary,littlejenkins,0,female,female,7.906913073,6.579055441
masya,littlejenkins,0,female,female,22.58179329,6.579055441
mike,littlejenkins,0,male,female,15.58110883,6.579055441
moyo,littlejenkins,0,male,female,5.963039014,6.579055441
nina,littlejenkins,0,female,female,10.36550308,6.579055441
noel,littlejenkins,0,female,female,36.58042437,6.579055441
pan,littlejenkins,0,male,female,24.58042437,6.579055441
pippa,littlejenkins,0,female,female,24.58042437,6.579055441
taylor,littlejenkins,0,female,female,8.873374401,6.579055441
tess,littlejenkins,0,female,female,15.58110883,6.579055441
trixie,littlejenkins,0,female,female,23.58110883,6.579055441
violet,littlejenkins,0,female,female,22.58179329,6.579055441
zsabu,littlejenkins,0,male,female,23.58110883,6.579055441
maggie,littlejudy,0,female,female,27.58110883,18.58179329
mary,littlejudy,0,female,female,7.906913073,18.58179329
masya,littlejudy,0,female,female,22.58179329,18.58179329
mike,littlejudy,0,male,female,15.58110883,18.58179329
moyo,littlejudy,0,male,female,5.963039014,18.58179329
nina,littlejudy,0,female,female,10.36550308,18.58179329
noel,littlejudy,0,female,female,36.58042437,18.58179329
pan,littlejudy,0,male,female,24.58042437,18.58179329
pippa,littlejudy,0.125,female,female,24.58042437,18.58179329
taylor,littlejudy,0,female,female,8.873374401,18.58179329
tess,littlejudy,0,female,female,15.58110883,18.58179329
trixie,littlejudy,0,female,female,23.58110883,18.58179329
violet,littlejudy,0,female,female,22.58179329,18.58179329
zsabu,littlejudy,0,male,female,23.58110883,18.58179329
mary,maggie,0,female,female,7.906913073,27.58110883
masya,maggie,0,female,female,22.58179329,27.58110883
mike,maggie,0,male,female,15.58110883,27.58110883
moyo,maggie,0.9,male,female,5.963039014,27.58110883
nina,maggie,0,female,female,10.36550308,27.58110883
noel,maggie,0.083333333,female,female,36.58042437,27.58110883
pan,maggie,0,male,female,24.58042437,27.58110883
pippa,maggie,0.066666667,female,female,24.58042437,27.58110883
taylor,maggie,0,female,female,8.873374401,27.58110883
tess,maggie,0,female,female,15.58110883,27.58110883
trixie,maggie,0,female,female,23.58110883,27.58110883
violet,maggie,0,female,female,22.58179329,27.58110883
zsabu,maggie,0,male,female,23.58110883,27.58110883
masya,mary,0.5,female,female,22.58179329,7.906913073
mike,mary,0,male,female,15.58110883,7.906913073
moyo,mary,0,male,female,5.963039014,7.906913073
nina,mary,0,female,female,10.36550308,7.906913073
noel,mary,0,female,female,36.58042437,7.906913073
pan,mary,0,male,female,24.58042437,7.906913073
pippa,mary,0,female,female,24.58042437,7.906913073
taylor,mary,0,female,female,8.873374401,7.906913073
tess,mary,0,female,female,15.58110883,7.906913073
trixie,mary,0,female,female,23.58110883,7.906913073
violet,mary,0,female,female,22.58179329,7.906913073
zsabu,mary,0,male,female,23.58110883,7.906913073
mike,masya,0,male,female,15.58110883,22.58179329
moyo,masya,0,male,female,5.963039014,22.58179329
nina,masya,0,female,female,10.36550308,22.58179329
noel,masya,0,female,female,36.58042437,22.58179329
pan,masya,0,male,female,24.58042437,22.58179329
